street,city,state,country,zip_code,store_id
101 Main St,Boston,Massachusetts,USA,02108,1
22 River Rd,Cambridge,Massachusetts,USA,02139,2
15 Beacon Ave,Somerville,Massachusetts,USA,02143,3
88 Harrison Ave,Boston,Massachusetts,USA,02118,4
200 Elm St,Brookline,Massachusetts,USA,02445,5
43 Union St,Salem,Massachusetts,USA,01970,6
77 Oak St,Medford,Massachusetts,USA,02155,7
19 Walnut Ave,Quincy,Massachusetts,USA,02169,8
305 Centre St,Newton,Massachusetts,USA,02458,9
12 Harbor Way,Revere,Massachusetts,USA,02151,10
